iter	RMSE
0	0.3975477642
1	0.3962905618
2	0.3949692191
3	0.3937458224
4	0.3925910684
5	0.3914143479
6	0.39015807
7	0.3889628103
8	0.3878229172
9	0.3865085215
10	0.3851820161
11	0.3839595978
12	0.382702358
13	0.3815292188
14	0.3804340035
15	0.3792988035
16	0.3781451498
17	0.3769987809
18	0.3759042441
19	0.3747509499
20	0.3737064414
21	0.3725408686
22	0.3714463321
23	0.3703479869
24	0.3692450667
25	0.3681717511
26	0.3669545783
27	0.3659389825
28	0.3648405569
29	0.3638128907
30	0.3626446702
31	0.3615644476
32	0.3603985981
33	0.3593612182
34	0.3583165066
35	0.3572366222
36	0.3561359694
37	0.3550301479
38	0.3539026437
39	0.3528627145
40	0.3519299821
41	0.3508970984
42	0.3498771438
43	0.3487992704
44	0.3477647483
45	0.3467808535
46	0.3457869818
47	0.3447940166
48	0.3438166929
49	0.342907351
50	0.3419426381
51	0.3409827429
52	0.3400387207
53	0.339122193
54	0.338117771
55	0.3371728943
56	0.3362297518
57	0.3353294853
58	0.33441106
59	0.3334376289
60	0.332527797
61	0.3315897311
62	0.330686842
63	0.3297237489
64	0.328775519
65	0.3278393799
66	0.3269412398
67	0.3260568119
68	0.3251036297
69	0.3241604682
70	0.3233254654
71	0.3224562443
72	0.3215115624
73	0.3206665379
74	0.3197385611
75	0.3188881592
76	0.3179343261
77	0.3170853595
78	0.3161998518
79	0.315239782
80	0.3144146498
81	0.3135106537
82	0.3125620442
83	0.3117049427
84	0.3108480224
85	0.3100632056
86	0.3093103116
87	0.3085436727
88	0.3077629445
89	0.306906239
90	0.306071632
91	0.3051992694
92	0.3043754684
93	0.3035052764
94	0.3027546923
95	0.3019431453
96	0.301099856
97	0.3002569832
98	0.299553291
99	0.2988020058
100	0.2980954977
101	0.2973150738
102	0.2964848716
103	0.2958134711
104	0.295010735
105	0.294276047
106	0.2934970555
107	0.2927897642
108	0.2919812721
109	0.2912188042
110	0.2905039467
111	0.2897172679
112	0.28903309
113	0.2883567903
114	0.287645734
115	0.286898888
116	0.2861319557
117	0.2853733802
118	0.2845997303
119	0.2839283829
120	0.2832027307
121	0.2825090385
122	0.2817747564
123	0.2810882503
124	0.2803712252
125	0.2797007526
126	0.2789841746
127	0.2783177855
128	0.277647095
129	0.276959716
130	0.2762557858
131	0.2755949795
132	0.2749608592
133	0.2743530332
134	0.2737020383
135	0.2730687593
136	0.2724370234
137	0.2717470128
138	0.2710554764
139	0.2704352611
140	0.269777082
141	0.2691661298
142	0.2685372489
143	0.2679952384
144	0.2674547131
145	0.266867563
146	0.2662779044
147	0.2656136061
148	0.2649764711
149	0.2643516556
150	0.2637142739
151	0.2630821916
152	0.2624137966
153	0.2617975275
154	0.2612004927
155	0.2606100811
156	0.2600611319
157	0.2594693897
158	0.2588808543
159	0.2583187722
160	0.2577452192
161	0.2571577151
162	0.2566159954
163	0.2559710511
164	0.2554313056
165	0.2548116167
166	0.2542118729
167	0.2536787352
168	0.2531578305
169	0.2525599734
170	0.2519370986
171	0.2513290078
172	0.2507563436
173	0.2501490483
174	0.2495881017
175	0.248987413
176	0.2484822316
177	0.2479483326
178	0.2473735703
179	0.2468695797
180	0.2463482294
181	0.2457558714
182	0.2452684452
183	0.2447055123
184	0.2441785546
185	0.2436907567
186	0.2431391223
187	0.2426224867
188	0.2421074584
189	0.2415885407
190	0.2411315537
191	0.2406416635
192	0.2401490528
193	0.2396020316
194	0.239074066
195	0.2385169562
196	0.2380308069
197	0.2375955397
198	0.2371245976
199	0.2366058871
200	0.2361421242
201	0.2356456099
202	0.2351320571
203	0.2345818479
204	0.2340893624
205	0.2336464795
206	0.2331313085
207	0.2326205344
208	0.2321502699
209	0.2316770023
210	0.23123573
211	0.2307807914
212	0.2303566988
213	0.2299007092
214	0.2294377577
215	0.2289660148
216	0.2284676654
217	0.2280261039
218	0.2275928662
219	0.2271637121
220	0.2267172324
221	0.2262902922
222	0.2258692358
223	0.2254371206
224	0.2250156112
225	0.2245687623
226	0.2241088318
227	0.2236728142
228	0.2231940137
229	0.2227827349
230	0.2223298035
231	0.2218702702
232	0.2214250515
233	0.2210063598
234	0.2205752427
235	0.2201625224
236	0.2197491565
237	0.2192792671
238	0.2188245946
239	0.2184042852
240	0.2179776514
241	0.2176059323
242	0.2171731415
243	0.2167599105
244	0.2163612242
245	0.2159249327
246	0.2155343915
247	0.2151255115
248	0.2147796963
249	0.2143672141
250	0.2139280829
251	0.2135492054
252	0.2131376862
253	0.2127313674
254	0.2123397126
255	0.2119559652
256	0.2115672208
257	0.2111637609
258	0.2107794192
259	0.2103991551
260	0.2100279092
261	0.2096588838
262	0.2092731825
263	0.2089476081
264	0.2085792715
265	0.2081697446
266	0.2077928618
267	0.2074038096
268	0.2070359171
269	0.2066659626
270	0.2063277051
271	0.2059802201
272	0.2056615074
273	0.2052946641
274	0.204928209
275	0.2045451777
276	0.2042004834
277	0.2038723457
278	0.2034867146
279	0.2031315924
280	0.2027728218
281	0.2024269981
282	0.2020535323
283	0.2016892372
284	0.2013460485
285	0.2009752743
286	0.2006716377
287	0.200391819
288	0.2000530375
289	0.1997373509
290	0.199436895
291	0.1990901959
292	0.198815204
293	0.1984693651
294	0.1981802331
295	0.1978596648
296	0.1975186542
297	0.1972161604
298	0.1968900979
299	0.1965903697
300	0.1962377863
301	0.1959305235
302	0.1956039375
303	0.1952443329
304	0.194926198
305	0.1946085326
306	0.194299722
307	0.1939856287
308	0.1936505052
309	0.19333723
310	0.1930404654
311	0.1927621925
312	0.1924429767
313	0.1921307936
314	0.1918127926
315	0.1915130877
316	0.1912085814
317	0.1908977047
318	0.1906089956
319	0.1902965609
320	0.1900393887
321	0.1898076686
322	0.1895043091
323	0.1891948185
324	0.1888865172
325	0.188637119
326	0.1883592815
327	0.188082161
328	0.1878039359
329	0.1875199518
330	0.1872454292
331	0.1869867675
332	0.1867084146
333	0.1864260179
334	0.1861302177
335	0.1858357268
336	0.1855912978
337	0.1853419598
338	0.1850908706
339	0.184853295
340	0.1845672199
341	0.1842704274
342	0.1839923409
343	0.1837108878
344	0.1834252188
345	0.1831438072
346	0.182896025
347	0.1826524541
348	0.182397843
349	0.1821574021
350	0.1818998744
351	0.1816482809
352	0.1813955539
353	0.181147893
354	0.1808866897
355	0.1806638505
356	0.1803808711
357	0.1801428756
358	0.1798925875
359	0.1796433368
360	0.1794071369
361	0.179178762
362	0.1789209179
363	0.1786870753
364	0.1784258005
365	0.1781645842
366	0.1779318511
367	0.1776874425
368	0.177433927
369	0.1771974893
370	0.17698793
371	0.1767725201
372	0.1765575987
373	0.1763409285
374	0.1760950727
375	0.1758478398
376	0.1756277104
377	0.1754187227
378	0.1751746608
379	0.1749203785
380	0.1746579418
381	0.1744355867
382	0.1741932816
383	0.1739527829
384	0.1737203813
385	0.1734979638
386	0.1732598031
387	0.1730380686
388	0.1728099423
389	0.1725685922
390	0.172344842
391	0.1721428108
392	0.1719336345
393	0.1717067293
394	0.1714918018
395	0.1712806972
396	0.1710901235
397	0.1708886009
398	0.1706643508
399	0.1704469657
400	0.1702780517
401	0.170107951
402	0.1699010098
403	0.1696903313
404	0.1694997321
405	0.1693202541
406	0.1691534813
407	0.1689287946
408	0.1687216373
409	0.1685232525
410	0.1683278905
411	0.1681355183
412	0.1679384839
413	0.1677143884
414	0.1675013697
415	0.1673171895
416	0.167140147
417	0.1669599036
418	0.1667533294
419	0.1665478917
420	0.1663935325
421	0.1662239705
422	0.1660519484
423	0.1658658827
424	0.16565971
425	0.1654969319
426	0.1653221617
427	0.1651398418
428	0.1649642587
429	0.1647812229
430	0.1645782432
431	0.1643869296
432	0.1642162177
433	0.1640206195
434	0.1638412138
435	0.1636714275
436	0.1634945462
437	0.1633159543
438	0.163117159
439	0.1629250686
440	0.1627342133
441	0.162556752
442	0.1623839722
443	0.1621999485
444	0.1620618818
445	0.1618956935
446	0.1617135712
447	0.1615362392
448	0.1613527293
449	0.1611726827
450	0.1609940881
451	0.160824782
452	0.1606573172
453	0.1604795935
454	0.1603135869
455	0.1601411559
456	0.1599597505
457	0.1598028955
458	0.1596302833
459	0.1594665603
460	0.1592992758
461	0.1591453962
462	0.1590002126
463	0.1588189429
464	0.1586624414
465	0.1585164859
466	0.1583545535
467	0.158188093
468	0.1580538292
469	0.1578918072
470	0.1577299715
471	0.1575875687
472	0.1574360897
473	0.1573113369
474	0.1571694792
475	0.1570124263
476	0.1568611226
477	0.1567255209
478	0.1565641147
479	0.1564261459
480	0.1562908639
481	0.1561407147
482	0.1559866276
483	0.1558423693
484	0.1557003899
485	0.1555402064
486	0.1554073325
487	0.155275199
488	0.1551486513
489	0.1550029514
490	0.154879093
491	0.1547356304
492	0.1545745982
493	0.1544223506
494	0.1542564448
495	0.1541039474
496	0.1539747792
497	0.15383648
498	0.1536990477
499	0.153560773
500	0.1534294585
501	0.1532894286
502	0.1531622147
503	0.1530273687
504	0.1529038791
505	0.1527860467
506	0.1526468691
507	0.1525001442
508	0.1523576049
509	0.1522397522
510	0.1520922389
511	0.1519547881
512	0.1518128941
513	0.1516846695
514	0.1515455047
515	0.1514234114
516	0.1513135136
517	0.1511837899
518	0.1510408873
519	0.1509178111
520	0.1507852146
521	0.1506862679
522	0.1505545676
523	0.1504219469
524	0.1502972258
525	0.1501865005
526	0.1500424379
527	0.1499260993
528	0.1497967732
529	0.1496757305
530	0.1495418674
531	0.1494022936
532	0.149282716
533	0.1491577023
534	0.1490408704
535	0.1489011433
536	0.1487851624
537	0.1486484667
538	0.1485179975
539	0.148396648
540	0.1482699774
541	0.1481533573
542	0.1480456309
543	0.1479321879
544	0.1478268082
545	0.1477108529
546	0.1476041574
547	0.1474798222
548	0.1473499078
549	0.1472308394
550	0.1471221971
551	0.146984061
552	0.1468640271
553	0.1467606439
554	0.1466574041
555	0.1465367546
556	0.1464187772
557	0.1462905727
558	0.1461964499
559	0.1460767648
560	0.1459552733
561	0.1458286823
562	0.1457064096
563	0.1455759515
564	0.1454769892
565	0.1453659709
566	0.1452443996
567	0.1451189769
568	0.1450323153
569	0.1449355353
570	0.1448309586
571	0.1447236184
572	0.1446176119
573	0.1445155531
574	0.1444114188
575	0.1442969954
576	0.1441746008
577	0.1440641314
578	0.1439595339
579	0.143865148
580	0.1437644207
581	0.1436543679
582	0.1435556004
583	0.1434498885
584	0.1433429821
585	0.1432380309
586	0.1431272501
587	0.143024817
588	0.1429310437
589	0.1428257883
590	0.1427026741
591	0.1425691705
592	0.1424725492
593	0.1423767324
594	0.142294537
595	0.1421571368
596	0.1420578298
597	0.1419847426
598	0.1418719385
599	0.1417635603
600	0.1416701114
601	0.1415919551
602	0.1415114069
603	0.1414130293
604	0.1413038019
605	0.1412245254
606	0.141144853
607	0.1410356545
608	0.1409458511
609	0.1408205085
610	0.1407287449
611	0.1406396598
612	0.1405477111
613	0.1404447008
614	0.140356536
615	0.1402713927
616	0.1401720179
617	0.1400746172
618	0.139980088
619	0.1398639046
620	0.1397616106
621	0.1396744681
622	0.139579315
623	0.1394811233
624	0.1393953283
625	0.1392971972
626	0.1392098953
627	0.1391095286
628	0.1390001578
629	0.1388837819
630	0.138806215
631	0.1387219925
632	0.138634106
633	0.138533442
634	0.1384541803
635	0.1383657835
636	0.1382543096
637	0.1381624206
638	0.1380636847
639	0.1379533834
640	0.1378598964
641	0.1377872522
642	0.137707024
643	0.1376384015
644	0.1375514336
645	0.1374542127
646	0.1373858928
647	0.1373056591
648	0.1372153309
649	0.1371238961
650	0.137055863
651	0.1369664857
652	0.1368982143
653	0.1368166174
654	0.1367433773
655	0.1366599065
656	0.136570881
657	0.1364843223
658	0.1363953679
659	0.1362925847
660	0.1362089849
661	0.1361247873
662	0.1360346041
663	0.1359637725
664	0.1358920599
665	0.1358247869
666	0.1357190777
667	0.1356242615
668	0.1355451699
669	0.1354880575
670	0.1353896947
671	0.1353069074
672	0.1352086805
673	0.1351065932
674	0.1350276943
675	0.1349597221
676	0.1348901509
677	0.1348204815
678	0.1347492288
679	0.1346712344
680	0.1345867545
681	0.1345042385
682	0.1344346493
683	0.1343626833
684	0.1342872616
685	0.1342159091
686	0.1341476429
687	0.1340768996
688	0.1339773778
689	0.1339211917
690	0.1338489945
691	0.1337576154
692	0.1336722889
693	0.1335863896
694	0.1335100228
695	0.1334333571
696	0.1333675341
697	0.1332813486
698	0.1332078866
699	0.1331131595
700	0.1330433095
701	0.1329788756
702	0.1328907742
703	0.1328172869
704	0.1327442676
705	0.1326517423
706	0.1325867759
707	0.1325089985
708	0.1324330573
709	0.132377853
710	0.1322833012
711	0.1321907232
712	0.1321193972
713	0.1320184439
714	0.1319447595
715	0.1318901197
716	0.1317909082
717	0.13171415
718	0.1316345273
719	0.1315595394
720	0.1314930583
721	0.1314310649
722	0.1313634178
723	0.1312981554
724	0.1312306096
725	0.1311549601
726	0.1310894445
727	0.1310172183
728	0.1309553355
729	0.1308907488
730	0.1308346823
731	0.1307623003
732	0.1307001454
733	0.1306495999
734	0.130551889
735	0.1304732865
736	0.1303779482
737	0.1303273511
738	0.1302697408
739	0.1302209279
740	0.1301568585
741	0.1300903827
742	0.1300092615
743	0.1299352825
744	0.1298693275
745	0.1297959827
746	0.1297305873
747	0.1296622363
748	0.129601087
749	0.1295357642
750	0.1294651952
751	0.1293918985
752	0.1293208693
753	0.1292683741
754	0.1291744464
755	0.1291083061
756	0.1290247913
757	0.1289547422
758	0.1288714029
759	0.1288087575
760	0.1287638416
761	0.1286678785
762	0.1285946155
763	0.1285426159
764	0.1284821109
765	0.1284032703
766	0.1283507594
767	0.1282990706
768	0.1282361216
769	0.1281723264
770	0.1280844021
771	0.1280175822
772	0.127963353
773	0.1278935882
774	0.1278365927
775	0.127764113
776	0.1277029261
777	0.1276420282
778	0.1275758
779	0.1275026982
780	0.127415201
781	0.1273523454
782	0.1272958087
783	0.1272309277
784	0.1271741906
785	0.1271068265
786	0.1270545799
787	0.1269763974
788	0.1269090157
789	0.1268461478
790	0.1267852694
791	0.1267251257
792	0.1266468845
793	0.1266023268
794	0.1265449865
795	0.1264768003
796	0.1264074545
797	0.1263377066
798	0.1262820634
799	0.1262278162
800	0.1261773697
801	0.126090586
802	0.1260347885
803	0.1259617065
804	0.1258923716
805	0.1258405944
806	0.1257916609
807	0.1257409148
808	0.1256750075
809	0.1256094539
810	0.125541998
811	0.1254714283
812	0.1253963716
813	0.1253526616
814	0.1252959023
815	0.1252403969
816	0.1251739121
817	0.1251178381
818	0.1250565353
819	0.1250096436
820	0.1249520149
821	0.1249016411
822	0.1248553499
823	0.1247925958
824	0.1247394303
825	0.1246858003
826	0.124613905
827	0.1245540453
828	0.1245006089
829	0.1244556435
830	0.1243981955
831	0.124353199
832	0.1242962895
833	0.1242443045
834	0.1241727886
835	0.124128254
836	0.1240683125
837	0.1240167773
838	0.1239632494
839	0.1238992246
840	0.1238542142
841	0.1238116488
842	0.1237460674
843	0.123696887
844	0.1236428828
845	0.1235885569
846	0.1235322121
847	0.123486944
848	0.1234140057
849	0.1233665663
850	0.1232931562
851	0.1232455927
852	0.1231922315
853	0.1231355803
854	0.1230823374
855	0.1230319369
856	0.1229924595
857	0.122939224
858	0.1228879613
859	0.1228402577
860	0.1227910078
861	0.1227363793
862	0.1226963517
863	0.122641139
864	0.1225701267
865	0.1225147849
866	0.1224479745
867	0.1223962006
868	0.1223638934
869	0.1222920876
870	0.1222134934
871	0.1221705542
872	0.1221067485
873	0.1220483615
874	0.1219972175
875	0.1219356403
876	0.1219031022
877	0.1218686553
878	0.1218066045
879	0.1217493694
880	0.1216971495
881	0.1216539164
882	0.121608786
883	0.1215581304
884	0.1215030969
885	0.1214400459
886	0.1213884366
887	0.121337492
888	0.1212671228
889	0.1212350593
890	0.1211710568
891	0.1211231945
892	0.1210757492
893	0.1210349476
894	0.1210001171
895	0.120941467
896	0.1208855289
897	0.1208262861
898	0.1207796922
899	0.1207380288
900	0.1206758798
901	0.120614652
902	0.1205644716
903	0.1205238471
904	0.1204674486
905	0.1204175516
906	0.1203750849
907	0.120318662
908	0.1202731518
909	0.1202100737
910	0.120155616
911	0.1201054542
912	0.1200718731
913	0.1200178707
914	0.1199788496
915	0.1199258484
916	0.1198729723
917	0.1198353163
918	0.1197894648
919	0.1197319941
920	0.1196984828
921	0.119653554
922	0.1196131171
923	0.1195766555
924	0.1195374831
925	0.1194896641
926	0.1194311392
927	0.1193641851
928	0.1193027022
929	0.1192550652
930	0.1192163792
931	0.1191803156
932	0.1191459899
933	0.119112834
934	0.1190826352
935	0.1190463998
936	0.1189830141
937	0.1189368152
938	0.1188784174
939	0.1188217933
940	0.1187823716
941	0.1187412474
942	0.1186823262
943	0.1186410928
944	0.1186000121
945	0.1185483097
946	0.1184888177
947	0.1184375238
948	0.1183972518
949	0.1183475011
950	0.1183104012
951	0.1182603895
952	0.1182063604
953	0.1181475506
954	0.118098332
955	0.118073975
956	0.1180302657
957	0.1179901416
958	0.1179503605
959	0.1179062332
960	0.1178509444
961	0.117809183
962	0.1177674276
963	0.1177193796
964	0.1176926078
965	0.1176505342
966	0.1176053448
967	0.1175704209
968	0.1175154413
969	0.1174602732
970	0.117424188
971	0.1173795243
972	0.1173282773
973	0.117291516
974	0.117255148
975	0.1172142729
976	0.1171737291
977	0.1171372788
978	0.1171019306
979	0.1170667815
980	0.1170059876
981	0.1169735413
982	0.1169374708
983	0.1168802263
984	0.1168170609
985	0.1167745076
986	0.1167379556
987	0.116701022
988	0.1166693615
989	0.1166240719
990	0.1165807481
991	0.1165518755
992	0.116506017
993	0.1164723988
994	0.1164333134
995	0.1163960099
996	0.1163683929
997	0.1163331904
998	0.1162787468
999	0.1162370349
1000	0.1161880343
1001	0.1161533479
1002	0.1161109697
1003	0.1160681861
1004	0.1160103595
1005	0.115978588
1006	0.1159320014
1007	0.1158966734
1008	0.1158481615
1009	0.1158133274
1010	0.1157796277
1011	0.1157490589
1012	0.1157070577
1013	0.1156647547
1014	0.1156297451
1015	0.1155966473
1016	0.1155580511
1017	0.1155260435
1018	0.1154740081
1019	0.1154316703
1020	0.1153828459
1021	0.1153652834
1022	0.1153271965
1023	0.1152787651
1024	0.115225887
1025	0.1151957894
1026	0.1151564203
1027	0.1151260486
1028	0.1150921817
1029	0.11505672
1030	0.1150179175
1031	0.114976059
1032	0.1149463433
1033	0.1149161417
1034	0.1148704362
1035	0.1148337016
1036	0.1147890905
1037	0.1147419444
1038	0.1147117708
1039	0.1146620028
1040	0.1146285255
1041	0.1145908724
1042	0.1145528886
1043	0.1145064645
1044	0.1144703736
1045	0.1144238295
1046	0.114373181
1047	0.114336709
1048	0.1143113539
1049	0.1142746317
1050	0.1142474959
1051	0.1142018615
1052	0.1141532117
1053	0.1141167569
1054	0.1140834987
1055	0.114055514
1056	0.1140279067
1057	0.1139919171
1058	0.1139538488
1059	0.1139212367
1060	0.1138923195
1061	0.1138588999
1062	0.1138225308
1063	0.1137785916
1064	0.1137420732
1065	0.1137137315
1066	0.113662953
1067	0.1136320184
1068	0.113606551
1069	0.1135751118
1070	0.1135474772
1071	0.1135037733
1072	0.1134739181
1073	0.113449204
1074	0.1134233554
1075	0.1133873708
1076	0.1133567788
1077	0.1133226399
1078	0.1132981816
1079	0.1132637225
1080	0.1132317061
1081	0.1132028566
1082	0.1131552596
1083	0.1131141306
1084	0.1130889269
1085	0.1130582388
1086	0.1130131775
1087	0.1129802186
1088	0.1129470574
1089	0.1129031904
1090	0.1128729399
1091	0.1128453166
1092	0.1128141125
1093	0.1127926443
1094	0.1127652436
1095	0.1127322951
1096	0.1127019473
1097	0.1126693892
1098	0.1126440546
1099	0.1126117923
1100	0.1125828419
1101	0.1125569803
1102	0.1125254797
1103	0.1124877621
1104	0.1124664535
1105	0.1124261541
1106	0.1123930171
1107	0.112359229
1108	0.1123330122
1109	0.1123019025
1110	0.1122710354
1111	0.1122346306
1112	0.1122103156
1113	0.1121897943
1114	0.1121767495
1115	0.1121505771
1116	0.1121077206
1117	0.1120709639
1118	0.1120476644
1119	0.1120034702
1120	0.1119631104
1121	0.1119417984
1122	0.1119134512
1123	0.1118855754
1124	0.1118607129
1125	0.1118275585
1126	0.1117979411
1127	0.1117729397
1128	0.111732964
1129	0.1117130247
1130	0.1116793615
1131	0.1116551255
1132	0.1116287291
1133	0.1116026144
1134	0.1115645222
1135	0.1115243244
1136	0.1114873675
1137	0.1114408243
1138	0.111389506
1139	0.1113683718
1140	0.1113383887
1141	0.1113105991
1142	0.1112746527
1143	0.1112361353
1144	0.1112146761
1145	0.1111852247
1146	0.1111587601
1147	0.1111332898
1148	0.1110953334
1149	0.1110644983
1150	0.1110399344
1151	0.1110162787
1152	0.1109909004
1153	0.1109531522
1154	0.1109250758
1155	0.1108883679
1156	0.1108510307
1157	0.1108256916
1158	0.1107828663
1159	0.110749336
1160	0.1107224464
1161	0.1106955923
1162	0.1106514416
1163	0.110621165
1164	0.1105703406
1165	0.1105450358
1166	0.1105045525
1167	0.1104705751
1168	0.1104408452
1169	0.110413219
1170	0.1103811865
1171	0.1103560858
1172	0.1103256953
1173	0.1102924273
1174	0.1102671423
1175	0.1102260413
1176	0.1101937527
1177	0.1101646945
1178	0.1101239593
1179	0.1100916067
1180	0.1100528142
1181	0.1100261707
1182	0.109995106
1183	0.1099581867
1184	0.1099301683
1185	0.1098976904
1186	0.1098583044
1187	0.1098194984
1188	0.109781398
1189	0.109748139
1190	0.1097119793
1191	0.1096778434
1192	0.1096543271
1193	0.1096214691
1194	0.1095911814
1195	0.109557835
1196	0.1095223039
1197	0.1094859373
1198	0.1094547343
1199	0.1094302154
1200	0.1094014481
1201	0.1093610638
1202	0.1093204815
1203	0.1092911309
1204	0.1092601188
1205	0.1092289254
1206	0.1091978941
1207	0.1091747401
1208	0.109147481
1209	0.1091187664
1210	0.1090884194
1211	0.1090616134
1212	0.1090281269
1213	0.1089919779
1214	0.1089651237
1215	0.108944117
1216	0.1089218176
1217	0.108903305
1218	0.1088830009
1219	0.1088616808
1220	0.1088142805
1221	0.1087846528
1222	0.1087627854
1223	0.1087398666
1224	0.1087162201
1225	0.1086840402
1226	0.1086578615
1227	0.1086327286
1228	0.1085978308
1229	0.1085747317
1230	0.1085426211
1231	0.1085138323
1232	0.1084865373
1233	0.1084594802
1234	0.1084330302
1235	0.1084096485
1236	0.1083801927
1237	0.1083420013
1238	0.1083209256
1239	0.1082973248
1240	0.1082656198
1241	0.1082405761
1242	0.1082143297
1243	0.1081796115
1244	0.1081511432
1245	0.1081294086
1246	0.1080968162
1247	0.1080554639
1248	0.1080405596
1249	0.1080059875
1250	0.1079790478
1251	0.1079463865
1252	0.1079087659
1253	0.1078774065
1254	0.1078417926
1255	0.1078180109
1256	0.1077816606
1257	0.1077509646
1258	0.1077176679
1259	0.1076898441
1260	0.1076621588
1261	0.1076336471
1262	0.1076094726
1263	0.1075861898
1264	0.1075631282
1265	0.1075427998
1266	0.107520204
1267	0.1074945003
1268	0.1074663414
1269	0.1074467801
1270	0.1074141585
1271	0.1073990073
1272	0.1073826314
1273	0.1073528003
1274	0.1073380567
1275	0.1073151043
1276	0.1072895356
1277	0.1072617842
1278	0.1072397862
1279	0.1072180711
1280	0.1071897985
1281	0.1071479541
1282	0.1071269105
1283	0.1070991912
1284	0.1070735684
1285	0.1070587551
1286	0.107027242
1287	0.1069968365
1288	0.1069691214
1289	0.1069271305
1290	0.1069190768
1291	0.1068902177
1292	0.1068682678
1293	0.1068394395
1294	0.1068082358
1295	0.1067808063
1296	0.1067604423
1297	0.1067376409
1298	0.1067149085
1299	0.1066838854
1300	0.1066609062
1301	0.1066270098
1302	0.1065999864
1303	0.1065760094
1304	0.1065580774
1305	0.1065284564
1306	0.1065057311
1307	0.1064831312
1308	0.1064564273
1309	0.1064208214
1310	0.1064030596
1311	0.1063816344
1312	0.1063528393
1313	0.1063316608
1314	0.1063080991
1315	0.1062798767
1316	0.1062519051
1317	0.1062221563
1318	0.1061896201
1319	0.1061526255
1320	0.1061325538
1321	0.1061123695
1322	0.1060886985
1323	0.1060680915
1324	0.1060463591
1325	0.1060212522
1326	0.1060002389
1327	0.1059704942
1328	0.1059492597
1329	0.1059134422
1330	0.1058860619
1331	0.1058603061
1332	0.1058225074
1333	0.1058076967
1334	0.1057827898
1335	0.1057641774
1336	0.1057406636
1337	0.1057115542
1338	0.1056891097
1339	0.1056672803
1340	0.1056365975
1341	0.1056066008
1342	0.1055837783
1343	0.1055539271
1344	0.1055295876
1345	0.1055047286
1346	0.1054804377
1347	0.1054571501
1348	0.1054312526
1349	0.1054065172
1350	0.1053799551
1351	0.105354684
1352	0.105323841
1353	0.1052970007
1354	0.1052722516
1355	0.1052506528
1356	0.1052191477
1357	0.1051931757
1358	0.1051596005
1359	0.1051435795
1360	0.1051074678
1361	0.1050865339
1362	0.1050533758
1363	0.1050266068
1364	0.1049962883
1365	0.1049700397
1366	0.1049486603
1367	0.1049250293
1368	0.1048960058
1369	0.1048698912
1370	0.1048477203
1371	0.1048237057
1372	0.1048057437
1373	0.1047839406
1374	0.1047553631
1375	0.1047367473
1376	0.1047093367
1377	0.1046790865
1378	0.1046451481
1379	0.1046209293
1380	0.1046027901
1381	0.1045825148
1382	0.1045557482
1383	0.1045334566
1384	0.1045063962
1385	0.1044928083
1386	0.1044703023
1387	0.1044414675
1388	0.1044202998
1389	0.1043966488
1390	0.1043719695
1391	0.1043478448
1392	0.1043107867
1393	0.1042892449
1394	0.1042664822
1395	0.1042424261
1396	0.1042199555
1397	0.1041927281
1398	0.1041705707
1399	0.1041527694
1400	0.1041294323
1401	0.1041055502
1402	0.1040845347
1403	0.1040698752
1404	0.1040483054
1405	0.1040269411
1406	0.1040008129
1407	0.1039776052
1408	0.1039583047
1409	0.1039321726
1410	0.1039025948
1411	0.1038774403
1412	0.1038577307
1413	0.1038277281
1414	0.1038060517
1415	0.103791763
1416	0.103760298
1417	0.1037342868
1418	0.1037140178
1419	0.1036931018
1420	0.1036717361
1421	0.1036470527
1422	0.1036261322
1423	0.1036002206
1424	0.103575065
1425	0.1035459458
1426	0.1035252842
1427	0.1034992981
1428	0.1034676428
1429	0.1034491787
1430	0.1034264016
1431	0.1034006201
1432	0.103372921
1433	0.1033464137
1434	0.1033235542
1435	0.103299243
1436	0.1032702846
1437	0.1032355537
1438	0.1032090063
1439	0.1031825969
1440	0.1031624287
1441	0.1031346282
1442	0.1031103671
1443	0.1030825613
1444	0.1030479199
1445	0.1030255275
1446	0.1030050374
1447	0.1029877135
1448	0.1029609482
1449	0.1029392072
1450	0.1029190433
1451	0.1028964531
1452	0.1028625604
1453	0.1028421819
1454	0.1028224469
1455	0.1028058729
1456	0.1027850895
1457	0.1027606578
1458	0.102740742
1459	0.1027117871
1460	0.1026874453
1461	0.1026690608
1462	0.1026468759
1463	0.1026221758
1464	0.1026001897
1465	0.10258225
1466	0.1025528697
1467	0.1025304202
1468	0.1025084063
1469	0.1024834323
1470	0.1024630503
1471	0.1024451126
1472	0.1024206269
